ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name
002304.SZ,20230601,133.15,136.3,133.11,134.44,134.24,0.2,0.149,45858.23,618164.788,洋河股份
000858.SZ,20230601,162.49,166.6,161.2,163.32,161.18,2.14,1.3277,169016.44,2774057.591,五粮液
000596.SZ,20230601,251.91,256.66,251.43,254.0,251.92,2.08,0.8257,14134.75,358485.431,古井贡酒
000568.SZ,20230601,204.98,214.19,204.45,207.53,204.03,3.5,1.7154,85479.42,1783304.205,泸州老窖
600809.SH,20230602,214.0,216.8,212.59,216.13,212.41,3.72,1.7513,53833.23,1157687.979,山西汾酒
600519.SH,20230602,1645.0,1673.15,1636.11,1670.6,1635.92,34.68,2.1199,25058.02,4163116.244,贵州茅台
002304.SZ,20230602,134.68,138.3,134.12,137.89,134.44,3.45,2.5662,42679.52,582186.071,洋河股份
000858.SZ,20230602,165.0,168.4,163.33,167.9,163.32,4.58,2.8043,192083.97,3199284.099,五粮液
000596.SZ,20230602,252.97,258.0,251.51,258.0,254.0,4.0,1.5748,15851.57,404741.738,古井贡酒
000568.SZ,20230602,208.56,213.38,205.55,212.22,207.53,4.69,2.2599,60806.78,1281837.041,泸州老窖
600809.SH,20230605,216.13,216.13,210.28,212.0,216.13,-4.13,-1.9109,47670.87,1013215.784,山西汾酒
600519.SH,20230605,1666.16,1682.88,1663.0,1665.0,1670.6,-5.6,-0.3352,16200.5,2704294.313,贵州茅台
002304.SZ,20230605,137.12,138.18,134.71,135.26,137.89,-2.63,-1.9073,46094.82,626043.333,洋河股份
000858.SZ,20230605,167.28,167.68,164.63,165.2,167.9,-2.7,-1.6081,113446.97,1879812.886,五粮液
000596.SZ,20230605,255.0,255.8,245.5,246.08,258.0,-11.92,-4.6202,20610.95,512598.241,古井贡酒
000568.SZ,20230605,211.0,211.96,205.0,206.76,212.22,-5.46,-2.5728,69019.18,1429169.413,泸州老窖
600809.SH,20230606,211.52,214.52,208.82,210.7,212.0,-1.3,-0.6132,52440.31,1109566.128,山西汾酒
600519.SH,20230606,1670.0,1684.0,1651.55,1666.99,1665.0,1.99,0.1195,19913.92,3326778.183,贵州茅台
002304.SZ,20230606,135.98,137.37,134.29,134.95,135.26,-0.31,-0.2292,52017.46,706733.452,洋河股份
000858.SZ,20230606,166.3,168.43,164.53,165.62,165.2,0.42,0.2542,135367.64,2256103.842,五粮液
000596.SZ,20230606,247.0,248.8,240.0,244.9,246.08,-1.18,-0.4795,24479.02,599615.816,古井贡酒
000568.SZ,20230606,207.35,213.87,204.85,208.99,206.76,2.23,1.0785,77878.65,1636679.659,泸州老窖
600809.SH,20230607,210.95,212.0,205.75,205.92,210.7,-4.78,-2.2686,56665.81,1174881.364,山西汾酒
600519.SH,20230607,1672.99,1678.8,1650.0,1650.9,1666.99,-16.09,-0.9652,17889.64,2971782.064,贵州茅台
002304.SZ,20230607,135.5,136.29,133.33,133.33,134.95,-1.62,-1.2004,34143.28,458115.23,洋河股份
000858.SZ,20230607,166.15,167.05,164.0,164.0,165.62,-1.62,-0.9781,95325.61,1574392.183,五粮液
000596.SZ,20230607,244.83,245.48,237.86,238.56,244.9,-6.34,-2.5888,21514.34,515432.138,古井贡酒
000568.SZ,20230607,210.0,211.98,205.01,205.28,208.99,-3.71,-1.7752,54466.52,1129517.879,泸州老窖
600809.SH,20230608,205.97,209.5,205.51,208.01,205.92,2.09,1.015,46136.08,956780.099,山西汾酒
600519.SH,20230608,1655.83,1675.0,1650.01,1668.0,1650.9,17.1,1.0358,14702.72,2441569.677,贵州茅台
002304.SZ,20230608,133.95,137.48,132.76,137.05,133.33,3.72,2.7901,49408.13,669234.499,洋河股份
000858.SZ,20230608,164.21,166.07,163.02,164.82,164.0,0.82,0.5,91572.82,1504742.545,五粮液
000596.SZ,20230608,239.03,246.53,238.0,245.5,238.56,6.94,2.9091,17224.36,418763.064,古井贡酒
000568.SZ,20230608,204.99,207.88,202.59,206.3,205.28,1.02,0.4969,53631.11,1101042.684,泸州老窖
600809.SH,20230609,208.02,209.41,204.2,204.2,208.01,-3.81,-1.8316,56791.43,1166812.334,山西汾酒
600519.SH,20230609,1671.99,1677.97,1666.0,1666.0,1668.0,-2.0,-0.1199,17580.41,2938014.322,贵州茅台
002304.SZ,20230609,138.2,140.3,136.15,136.26,137.05,-0.79,-0.5764,47384.57,652877.103,洋河股份
000858.SZ,20230609,164.94,165.98,163.8,164.59,164.82,-0.23,-0.1395,119635.17,1970427.702,五粮液
000596.SZ,20230609,244.8,249.49,243.03,245.87,245.5,0.37,0.1507,16402.36,403675.395,古井贡酒
000568.SZ,20230609,207.27,209.58,204.98,205.94,206.3,-0.36,-0.1745,64449.14,1332448.864,泸州老窖
600809.SH,20230612,204.35,208.03,201.61,206.05,204.2,1.85,0.906,87056.12,1789050.798,山西汾酒
600519.SH,20230612,1666.02,1708.0,1661.52,1696.0,1666.0,30.0,1.8007,27029.44,4562308.599,贵州茅台
002304.SZ,20230612,135.37,140.21,135.02,139.23,136.26,2.97,2.1797,50622.64,699020.328,洋河股份
000858.SZ,20230612,164.02,172.0,162.94,170.41,164.59,5.82,3.5361,241838.01,4073838.204,五粮液
000596.SZ,20230612,245.15,258.0,243.24,252.6,245.87,6.73,2.7372,17410.15,437277.908,古井贡酒
000568.SZ,20230612,205.25,220.0,205.12,217.2,205.94,11.26,5.4676,109272.02,2338615.836,泸州老窖
